Film,Box Office Gross Worldwide,Budget (Estimated)
It Happened One Night,,
The Barretts of Wimpole Street,,
Cleopatra,,
Flirtation Walk,,
The Gay Divorcee,,
Here Comes the Navy,,
The House of Rothschild,,
Imitation of Life,,
One Night of Love,,
The Thin Man,,
Viva Villa!,,
The White Parade,,
Mutiny on the Bounty,,
Alice Adams,,
Broadway Melody of 1936,,
Captain Blood,,
David Copperfield,,
The Informer,,
The Lives of a Bengal Lancer,,
A Midsummer Night's Dream,,
Les Mis̩rables,,
Naughty Marietta,,
Ruggles of Red Gap,,
Top Hat,,
The Great Ziegfeld,,
Anthony Adverse,,
Dodsworth,,
Libeled Lady,,
Mr. Deeds Goes to Town,,
Romeo and Juliet,,
San Francisco,,
The Story of Louis Pasteur,,
A Tale of Two Cities,,
Three Smart Girls,,
The Life of Emile Zola,,
The Awful Truth,,
Captains Courageous,,
Dead End,,
The Good Earth,,
In Old Chicago,,
Lost Horizon,,
One Hundred Men and a Girl,,
Stage Door,,
A Star Is Born,,
You Can't Take It with You,,
The Adventures of Robin Hood,,
Alexander's Ragtime Band,,
Boys Town,,
The Citadel,,
Four Daughters,,
Grand Illusion,,
Jezebel,,
Pygmalion,,
Test Pilot,,
Gone with the Wind,,
Dark Victory,,
"Goodbye, Mr. Chips",,
Love Affair,,
Mr. Smith Goes to Washington,,
Ninotchka,,
Of Mice and Men,,
Stagecoach,,
The Wizard of Oz,,
Wuthering Heights,,
Rebecca,,
"All This, and Heaven Too",,
Foreign Correspondent,,
The Grapes of Wrath,,
The Great Dictator,,
Kitty Foyle,,
The Letter,,
The Long Voyage Home,,
Our Town,,
The Philadelphia Story,,
How Green Was My Valley,,
Blossoms in the Dust,,
Citizen Kane,,
Here Comes Mr. Jordan,,
Hold Back the Dawn,,
The Little Foxes,,
The Maltese Falcon,,
One Foot in Heaven,,
Sergeant York,,
Suspicion,,
Mrs. Miniver,,
49th Parallel,,
Kings Row,,
The Magnificent Ambersons,,
The Pied Piper,,
The Pride of the Yankees,,
Random Harvest,,
The Talk of the Town,,
Wake Island,,
Yankee Doodle Dandy,,
Casablanca,,
For Whom the Bell Tolls,,
Heaven Can Wait,,
The Human Comedy,,
In Which We Serve,,
Madame Curie,,
The More the Merrier,,
The Ox-Bow Incident,,
The Song of Bernadette,,
Watch on the Rhine,,
Going My Way,,
Double Indemnity,,
Gaslight,,
Since You Went Away,,
Wilson,,
The Lost Weekend,,
Anchors Aweigh,,
The Bells of St. Mary's,,
Mildred Pierce,,
Spellbound,,
The Best Years of Our Lives,,
Henry V,,
It's a Wonderful Life,,
The Razor's Edge,,
The Yearling,,
Gentleman's Agreement,,
The Bishop's Wife,,
Crossfire,,
Great Expectations,,
Miracle on 34th Street,,
Hamlet,,
Johnny Belinda,,
The Red Shoes,,
The Snake Pit,,
The Treasure of the Sierra Madre,,
All the King's Men,,
Battleground,,
The Heiress,,
A Letter to Three Wives,,
Twelve O'Clock High,,
All About Eve,,
Born Yesterday,,
Father of the Bride,,
King Solomon's Mines,,
Sunset Boulevard,,
An American in Paris,,
Decision Before Dawn,,
A Place in the Sun,,
Quo Vadis,,
A Streetcar Named Desire,,
The Greatest Show on Earth,,
High Noon,,
Ivanhoe,,
Moulin Rouge,,
The Quiet Man,,
From Here to Eternity,,
Julius Caesar,,
The Robe,,
Roman Holiday,,
Shane,,
On the Waterfront,,
The Caine Mutiny,,
The Country Girl,,
Seven Brides for Seven Brothers,,
Three Coins in the Fountain,,
Marty,,
Love Is a Many-Splendored Thing,,
Mister Roberts,,
Picnic,,
The Rose Tattoo,,
Around the World in 80 Days,,
Friendly Persuasion,,
Giant,,
The King and I,,
The Ten Commandments,,
The Bridge on the River Kwai,,
12 Angry Men,,
Peyton Place,,
Sayonara,,
Witness for the Prosecution,,
Gigi,,
Auntie Mame,,
Cat on a Hot Tin Roof,,
The Defiant Ones,,
Separate Tables,,
Ben-Hur,,
Anatomy of a Murder,,
The Diary of Anne Frank,,
The Nun's Story,,
Room at the Top,,
The Apartment,,
The Alamo,,
Elmer Gantry,,
Sons and Lovers,,
The Sundowners,,
West Side Story,,
Fanny,,
The Guns of Navarone,,
The Hustler,,
Judgment at Nuremberg,,
Lawrence of Arabia,,
The Longest Day,,
The Music Man,,
Mutiny on the Bounty,,
To Kill a Mockingbird,,
Tom Jones,,
America America,,
Cleopatra,,
How the West Was Won,,
Lilies of the Field,,
My Fair Lady,,
Becket,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,
Mary Poppins,,
Zorba the Greek,,
The Sound of Music,,
Darling,,
Doctor Zhivago,,
Ship of Fools,,
A Thousand Clowns,,
A Man for All Seasons,,
Alfie,,
"The Russians Are Coming, the Russians Are Coming",,
The Sand Pebbles,,
Who's Afraid of Virginia Woolf?,,
In the Heat of the Night,,
Bonnie and Clyde,,
Doctor Dolittle,,
The Graduate,,
Guess Who's Coming to Dinner,,
Oliver!,,
Funny Girl,,
The Lion in Winter,,
"Rachel, Rachel",,
Romeo and Juliet,,
Midnight Cowboy,,
Anne of the Thousand Days,,
Butch Cassidy and the Sundance Kid,,
"Hello, Dolly!",,
Z,,
Patton,,
Airport,,
Five Easy Pieces,,
Love Story,,
M*A*S*H,,
The French Connection,,
A Clockwork Orange,,
Fiddler on the Roof,,
The Last Picture Show,,
Nicholas and Alexandra,,
The Godfather,,
Cabaret,,
Deliverance,,
The Emigrants,,
Sounder,,
The Sting,,
American Graffiti,,
Cries and Whispers,,
The Exorcist,,
A Touch of Class,,
The Godfather Part II,,
Chinatown,,
The Conversation,,
Lenny,,
The Towering Inferno,,
One Flew Over the Cuckoo's Nest,,
Barry Lyndon,,
Dog Day Afternoon,,
Jaws,,
Nashville,,
Rocky,,
All the President's Men,,
Bound for Glory,,
Network,,
Taxi Driver,,
Annie Hall,,
The Goodbye Girl,,
Julia,,
Star Wars,,
The Turning Point,,
The Deer Hunter,,
Coming Home,,
Heaven Can Wait,,
Midnight Express,,
An Unmarried Woman,,
Kramer vs. Kramer,,
All That Jazz,,
Apocalypse Now,,
Breaking Away,,
Norma Rae,,
Ordinary People,,
Coal Miner's Daughter,,
The Elephant Man,,
Raging Bull,,
Tess,,
Chariots of Fire,,
Atlantic City,,
On Golden Pond,,
Raiders of the Lost Ark,,
Reds,,
Gandhi,,
E.T. the Extra-Terrestrial,,
Missing,,
Tootsie,,
The Verdict,,
Terms of Endearment,,
The Big Chill,,
The Dresser,,
The Right Stuff,,
Tender Mercies,,
Amadeus,,
The Killing Fields,,
A Passage to India,,
Places in the Heart,,
A Soldier's Story,,
Out of Africa,,
The Color Purple,,
Kiss of the Spider Woman,,
Prizzi's Honor,,
Witness,,
Platoon,,
Children of a Lesser God,,
Hannah and Her Sisters,,
The Mission,,
A Room with a View,,
The Last Emperor,,
Broadcast News,,
Fatal Attraction,,
Hope and Glory,,
Moonstruck,,
Rain Man,,
The Accidental Tourist,,
Dangerous Liaisons,,
Mississippi Burning,,
Working Girl,,
Driving Miss Daisy,,
Born on the Fourth of July,,
Dead Poets Society,,
Field of Dreams,,
My Left Foot,,
Dances with Wolves,,
Awakenings,,
Ghost,,
The Godfather Part III,,
Goodfellas,,
The Silence of the Lambs,,
Beauty and the Beast,,
Bugsy,,
JFK,,
The Prince of Tides,,
Unforgiven,,
The Crying Game,,
A Few Good Men,,
Howards End,,
Scent of a Woman,,
Schindler's List,,
The Fugitive,,
In the Name of the Father,,
The Piano,,
The Remains of the Day,,
Forrest Gump,,
Four Weddings and a Funeral,,
Pulp Fiction,,
Quiz Show,,
The Shawshank Redemption,,
Braveheart,,
Apollo 13,,
Babe,,
The Postman (Il Postino),,
Sense and Sensibility,,
The English Patient,,
Fargo,,
Jerry Maguire,,
Secrets & Lies,,
Shine,,
Titanic,,
As Good as It Gets,,
The Full Monty,,
Good Will Hunting,,
L.A. Confidential,,
Shakespeare in Love,,
Elizabeth,,
Life Is Beautiful,,
Saving Private Ryan,,
The Thin Red Line,,
American Beauty,,
The Cider House Rules,,
The Green Mile,,
The Insider,,
The Sixth Sense,,
Gladiator,,
Chocolat,,
"Crouching Tiger, Hidden Dragon",,
Erin Brockovich,,
Traffic,,
A Beautiful Mind,,
Gosford Park,,
In the Bedroom,,
The Lord of the Rings: The Fellowship of the Ring,,
Moulin Rouge!,,
Chicago,,
Gangs of New York,,
The Hours,,
The Lord of the Rings: The Two Towers,,
The Pianist,,
The Lord of the Rings: The Return of the King,,
Lost in Translation,,
Master and Commander: The Far Side of the World,,
Mystic River,,
Seabiscuit,,
Million Dollar Baby,,
The Aviator,,
Finding Neverland,,
Ray,,
Sideways,,
Crash,,
Brokeback Mountain,,
Capote,,
"Good Night, and Good Luck",,
Munich,,
The Departed,,
Babel,,
Letters from Iwo Jima,,
Little Miss Sunshine,,
The Queen,,
No Country for Old Men,,
Atonement,,
Juno,,
Michael Clayton,,
There Will Be Blood,,
Slumdog Millionaire,,
The Curious Case of Benjamin Button,,
Frost/Nixon,,
Milk,,
The Reader,,
The Hurt Locker,,
Avatar,,
The Blind Side,,
District 9,,
An Education,,
Inglourious Basterds,,
Precious: Based on the Novel 'Push' by Sapphire,,
A Serious Man,,
Up,,
Up in the Air,,
The King's Speech,,
127 Hours,,
Black Swan,,
The Fighter,,
Inception,,
The Kids Are All Right,,
The Social Network,,
Toy Story 3,,
True Grit,,
Winter's Bone,,
The Artist,133471171,15000000
The Descendants,177243185,20000000
Extremely Loud & Incredibly Close,55247881,40000000
The Help,216639112,25000000
Hugo,185770310,150000000
Midnight in Paris,151672318,17000000
Moneyball,110206216,50000000
The Tree of Life,58409247,32000000
War Horse,177584879,66000000
Argo,232325503,44500000
Amour,29664140,8900000
Beasts of the Southern Wild,21107746,1800000
Django Unchained,426074373,100000000
Life of Pi,609016565,120000000
Lincoln,275293450,65000000
Les Mis̩rables,442299309,61000000
Silver Linings Playbook,236412453,21000000
Zero Dark Thirty,132820716,40000000
12 Years a Slave,187733202,20000000
American Hustle,251171807,40000000
Captain Phillips,218791811,55000000
Dallas Buyers Club,55198285,5000000
Gravity,773031583,100000000
Her,48517427,23000000
Nebraska,27682872,12000000
Philomena,100129872,12000000
The Wolf of Wall Street,406878233,100000000
Birdman or (The Unexpected Virtue of Ignorance),103215094,18000000
American Sniper,547659020,58800000
Boyhood,48137666,4000000
The Grand Budapest Hotel,174563280,25000000
The Imitation Game,233555708,14000000
Selma,67782762,20000000
The Theory of Everything,123726688,15000000
Whiplash,49440157,3300000
Spotlight,98690254,20000000
The Big Short,133440870,28000000
Bridge of Spies,165478348,40000000
Brooklyn,62402155,11000000
Mad Max: Fury Road,380418444,150000000
The Martian,630620818,108000000
The Revenant,532950503,135000000
Room,35401758,13000000
Moonlight,65172611,4000000
Arrival,203388186,47000000
Fences,64414761,24000000
Hacksaw Ridge,180563636,40000000
Hell or High Water,37999675,12000000
Hidden Figures,235956898,25000000
La La Land,471981681,30000000
Lion,140853810,12000000
Manchester by the Sea,78988148,9000000
The Shape of Water,195243464,19400000
Call Me by Your Name,43143046,4000000
Darkest Hour,150847274,30000000
Dunkirk,527816307,100000000
Get Out,255745157,4500000
Lady Bird,78986478,10000000
Phantom Thread,48706552,35000000
The Post,193764664,50000000
"Three Billboards Outside Ebbing, Missouri",162729321,15000000
Green Book,321752656,23000000
Black Panther,1349926083,200000000
BlacKkKlansman,93413709,15000000
Bohemian Rhapsody,910809311,52000000
The Favourite,95918706,15000000
Roma,1140769,
A Star Is Born,436433122,36000000
Vice,76073488,60000000
Parasite,262715944,11400000
1917,384579472,95000000
Ford v Ferrari,225508210,97600000
The Irishman,968853,159000000
Jojo Rabbit,93553698,14000000
Joker,1078958282,55000000
Little Women,218843645,40000000
Marriage Story,333686,18600000
Once Upon a Time in Hollywood,377617598,90000000
Nomadland,39458207,5000000
The Father,24043318,6000000
